codigo_ncm,descricao_ncm
69091910,"Obras de pedra, gesso, cimento, amianto, mica ou de matérias semelhantes; produtos cerâmicos; vidro e suas obras - Produtos cerâmicos. - Aparelhos e artigos para usos químicos ou para outros usos técnicos, de cerâmica; alguidares, gamelas e outros recipientes semelhantes para usos rurais, de cerâmica; bilhas e outras vasilhas próprias para transporte ou embalagem, de cerâmica. - Guia-fios para máquina têxtil"
31021010,"Produtos das indústrias químicas ou das indústrias conexas - Adubos (fertilizantes). - Adubos (fertilizantes) minerais ou químicos, nitrogenados (azotados). - Que contenha, em peso, mais de 45 % de nitrogênio (azoto), calculado sobre o produto anidro no estado seco"
29081929,"Produtos das indústrias químicas ou das indústrias conexas - Produtos químicos orgânicos. - Derivados halogenados, sulfonados, nitrados ou nitrosados dos fenóis ou dos fenóis-álcoois. - Outros"
29032900,Produtos das indústrias químicas ou das indústrias conexas - Produtos químicos orgânicos. - Derivados halogenados dos hidrocarbonetos. - -- Outros
55159990,"Matérias têxteis e suas obras - Fibras sintéticas ou artificiais, descontínuas. - Outros tecidos de fibras sintéticas descontínuas. - Outros"
03035300,"Animais vivos e produtos do reino animal - Peixes e crustáceos, moluscos e outros invertebrados aquáticos. - Peixes congelados, exceto os filés (filetes) de peixes e outra carne de peixes da posição 03.04. - -- Sardinhas (Sardina pilchardus, Sardinopsspp., Sardinellaspp.) (Sardinha (Sardina pilchardus) e sardinelas (Sardinopsspp.,Sardinellaspp.)*), anchoveta (espadilha*) (Sprattus sprattus)"
85229020,"Máquinas e aparelhos, material elétrico, e suas partes; aparelhos de gravação ou de reprodução de som, aparelhos de gravação ou de reprodução de imagens e de som em televisão, e suas partes e acessórios - Máquinas, aparelhos e materiais elétricos, e suas partes; aparelhos de gravação ou de reprodução de som, aparelhos de gravação ou de reprodução de imagens e de som em televisão, e suas partes e acessórios. - Partes e acessórios reconhecíveis como sendo exclusiva ou principalmente destinados aos aparelhos das posições 85.19 ou 85.21. - Gabinetes"
61032300,"Matérias têxteis e suas obras - Vestuário e seus acessórios, de malha. - Ternos (Fatos*), conjuntos, paletós (casacos*), calças, jardineiras, bermudas eshorts(calções) (exceto de banho), de malha, de uso masculino. - -- De fibras sintéticas"
63079010,"Matérias têxteis e suas obras - Outros artigos têxteis confeccionados; sortidos; artigos de matérias têxteis e artigos de uso semelhante, usados; trapos. - Outros artigos confeccionados, incluindo os moldes para vestuário. - De falso tecido (tecido não tecido)"
29362911,"Produtos das indústrias químicas ou das indústrias conexas - Produtos químicos orgânicos. - Provitaminas e vitaminas, naturais ou reproduzidas por síntese (incluindo os concentrados naturais), bem como os seus derivados utilizados principalmente como vitaminas, misturados ou não entre si, mesmo em quaisquer soluções. - Vitamina B9 (ácido fólico) e seus sais"
29159029,"Produtos das indústrias químicas ou das indústrias conexas - Produtos químicos orgânicos. - Ácidos monocarboxílicos acíclicos saturados e seus anidridos, halogenetos, peróxidos e peroxiácidos; seus derivados halogenados, sulfonados, nitrados ou nitrosados. - Outros"
48139000,"Pastas de madeira ou de outras matérias fibrosas celulósicas; desperdícios e aparas de papel ou de cartão; papel e suas obras - Papel e cartão; obras de pasta de celulose, papel ou de cartão. - Papel para cigarros, mesmo cortado nas dimensões próprias, em cadernos ou em tubos. - - Outros"
29391092,"Produtos das indústrias químicas ou das indústrias conexas - Produtos químicos orgânicos. - Alcaloides, naturais ou reproduzidos por síntese, seus sais, éteres, ésteres e outros derivados. - Concentrado De Palha De Papoula"
33059000,Produtos das indústrias químicas ou das indústrias conexas - Óleos essenciais e resinoides; produtos de perfumaria ou de toucador preparados e preparações cosméticas. - Preparações capilares. - - Outras
48113920,"Pastas de madeira ou de outras matérias fibrosas celulósicas; desperdícios e aparas de papel ou de cartão; papel e suas obras - Papel e cartão; obras de pasta de celulose, papel ou de cartão. - Papel, cartão, pasta (ouate) de celulose e mantas de fibras de celulose, revestidos, impregnados, recobertos, coloridos à superfície, decorados à superfície ou impressos, em rolos ou em folhas de forma quadrada ou retangular, de qualquer dimensão, exceto os produtos do tipo descrito nos textos das posições 48.03, 48.09 ou 48.10. - Outs.Pap. Cartoes Impregnados"
90213991,"Instrumentos e aparelhos de óptica, fotografia ou cinematografia, medida, controle ou de precisão; instrumentos e aparelhos medico-cirúrgicos; relogios e aparelhos semelhantes; instrumentos musicais; suas partes e acessórios - Instrumentos e aparelhos de óptica, de fotografia, de cinematografia, de medida, de controle ou de precisão; instrumentos e aparelhos médico-cirúrgicos; suas partes e acessórios. - Artigos e aparelhos ortopédicos, incluindo as cintas e fundas médico-cirúrgicas e as muletas; talas, goteiras e outros artigos e aparelhos para fraturas; artigos e aparelhos de prótese; aparelhos para facilitar a audição dos surdos e outros aparelhos para compensar uma deficiência ou uma incapacidade, destinados a serem transportados à mão ou sobre - Partes de próteses modulares que substituem membros superiores ou inferiores"
69039011,"Obras de pedra, gesso, cimento, amianto, mica ou de matérias semelhantes; produtos cerâmicos; vidro e suas obras - Produtos cerâmicos. - Outros produtos cerâmicos refratários (por exemplo, retortas, cadinhos, muflas, bocais, tampões, suportes, copelas, tubos, mangas, varetas, ""portas"" deslizantes (slide gates)) que não sejam de farinhas siliciosas fósseis nem de terras siliciosas semelhantes. - De carboneto de silício"
74072929,"Metais comuns e suas obras - Cobre e suas obras. - Barras e perfis, de cobre. - Outros"
34023930,"Produtos das indústrias químicas ou das indústrias conexas - Sabões, agentes orgânicos de superfície, preparações para lavagem, preparações lubrificantes, ceras artificiais, ceras preparadas, produtos de conservação e limpeza, velas e artigos semelhantes, massas ou pastas para modelar, ""ceras para odontologia"" e composições para odontologia à base de gesso. - Agentes orgânicos de superfície (exceto sabões); preparações tensoativas, preparações para lavagem (incluindo as preparações auxiliares para lavagem) e preparações para limpeza, mesmo que contenham sabão, exceto as da posição 34.01. - Alquilsulfonato de sódio, secundário"
84483919,"Máquinas e aparelhos, material elétrico, e suas partes; aparelhos de gravação ou de reprodução de som, aparelhos de gravação ou de reprodução de imagens e de som em televisão, e suas partes e acessórios - Reatores nucleares, caldeiras, máquinas, aparelhos e instrumentos mecânicos, e suas partes. - Máquinas e aparelhos auxiliares para as máquinas das posições 84.44, 84.45, 84.46 ou 84.47 (por exemplo, ratieras (maquinetas*), mecanismos Jacquard, quebra-urdiduras e quebra-tramas, mecanismos troca-lançadeiras); partes e acessórios reconhecíveis como exclusiva ou principalmente destinados às máquinas da presente posição ou das posições 84.44, 84 - Outras"
65040010,"Calçados, chapéus e artefatos de uso semelhante, guarda-chuvas, guarda-sóis, bengalas, chicotes, rebenques (pingalins), e suas partes; penas preparadas e suas obras; flores artificiais; obras de cabelo - Chapéus e artigos de uso semelhante, e suas partes. - NÃO INFORMADO - De palha fina (manila, panamá e semelhantes)"
12072090,"Produtos do reino vegetal - Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens. - Outras sementes e frutos oleaginosos, mesmo triturados. - Outras Sementes De Algodao,Mesmo Trituradas"
54025200,"Matérias têxteis e suas obras - Filamentos sintéticos ou artificiais; lâminas e formas semelhantes de matérias têxteis sintéticas ou artificiais. - Fios de filamentos sintéticos (exceto linhas para costurar), não acondicionados para venda a retalho, incluindo os monofilamentos sintéticos de título inferior a 67 decitex. - -- De poliésteres"
57011011,"Matérias têxteis e suas obras - Tapetes e outros revestimentos para pisos (pavimentos), de matérias têxteis. - Tapetes de matérias têxteis, de pontos nodados ou enrolados, mesmo confeccionados. - Feitos à mão"
72172090,"Metais comuns e suas obras - Ferro fundido, ferro e aço. - Fios de ferro ou aço não ligado. - Outros"
85285920,"Máquinas e aparelhos, material elétrico, e suas partes; aparelhos de gravação ou de reprodução de som, aparelhos de gravação ou de reprodução de imagens e de som em televisão, e suas partes e acessórios - Máquinas, aparelhos e materiais elétricos, e suas partes; aparelhos de gravação ou de reprodução de som, aparelhos de gravação ou de reprodução de imagens e de som em televisão, e suas partes e acessórios. - Monitores e projetores, que não incorporem aparelho receptor de televisão; aparelhos receptores de televisão, mesmo que incorporem um aparelho receptor de radiodifusão ou um aparelho de gravação ou de reprodução de som ou de imagens. - Policromáticos"
39119024,"Plásticos e suas obras; borrachas e suas obras - Plástico e suas obras. - Resinas de petróleo, resinas de cumarona-indeno, politerpenos, polissulfetos, polissulfonas e outros produtos mencionados na Nota 3 do presente Capítulo, não especificados nem compreendidos noutras posições, em formas primárias. - Polieterimidas (PEI) e seus copolímeros"
29419011,Produtos das indústrias químicas ou das indústrias conexas - Produtos químicos orgânicos. - Antibióticos. - Rifamicina S
48232010,"Pastas de madeira ou de outras matérias fibrosas celulósicas; desperdícios e aparas de papel ou de cartão; papel e suas obras - Papel e cartão; obras de pasta de celulose, papel ou de cartão. - Outro papel, cartão, pasta (ouate) de celulose e mantas de fibras de celulose, cortados em forma própria; outras obras de pasta de papel, papel, cartão, pasta (ouate) de celulose ou de mantas de fibras de celulose. - De peso superior a 15 g/m2, mas não superior a 25 g/m2, com um conteúdo de fibras sintéticas termossoldáveis igual ou superior a 20 %, mas não superior a 30 %, em peso, do conteúdo total de fibras"
41079190,"Peles, couros, peleteria (peles com pêlo*) e obras destas matérias; artigos de correeiro ou de seleiro; artigos de viagem, bolsas e artefatos semelhantes; obras de tripa - Peles, exceto as peles com pelo, e couros. - Couros preparados após curtimenta ou após secagem (crusting) e couros e peles apergaminhados, de bovinos (incluindo os búfalos) ou de equídeos, depilados, mesmo divididos, exceto os da posição 41.14. - Outros"
30021031,"Produtos das indústrias químicas ou das indústrias conexas - Produtos farmacêuticos. - Sangue humano; sangue animal preparado para usos terapêuticos, profiláticos ou de diagnóstico; antissoros, outras frações do sangue e produtos imunológicos, mesmo modificados ou obtidos por via biotecnológica; vacinas, toxinas, culturas de microrganismos (exceto leveduras) e produtos semelhantes; culturas de células, mesmo modificadas. - Soroalbumina, exceto a humana"
28276019,"Produtos das indústrias químicas ou das indústrias conexas - Produtos químicos inorgânicos; compostos inorgânicos ou orgânicos de metais preciosos, de elementos radioativos, de metais das terras raras ou de isótopos. - Cloretos, oxicloretos e hidroxicloretos; brometos e oxibrometos; iodetos e oxiodetos. - Outros"
27100031,"Produtos minerais - Combustíveis minerais, óleos minerais e produtos da sua destilação; matérias betuminosas; ceras minerais. - Óleos de petróleo ou de minerais betuminosos, exceto óleos brutos; preparações não especificadas nem compreendidas noutras posições, que contenham, como constituintes básicos, 70 % ou mais, em peso, de óleos de petróleo ou de minerais betuminosos; resíduos de óleos. - Querosene De Aviacao"
90192090,"Instrumentos e aparelhos de óptica, fotografia ou cinematografia, medida, controle ou de precisão; instrumentos e aparelhos medico-cirúrgicos; relogios e aparelhos semelhantes; instrumentos musicais; suas partes e acessórios - Instrumentos e aparelhos de óptica, de fotografia, de cinematografia, de medida, de controle ou de precisão; instrumentos e aparelhos médico-cirúrgicos; suas partes e acessórios. - Aparelhos de mecanoterapia; aparelhos de massagem; aparelhos de psicotécnica; aparelhos de ozonoterapia, de oxigenoterapia, de aerossolterapia, aparelhos respiratórios de reanimação e outros aparelhos de terapia respiratória. - Outros"
81029400,"Metais comuns e suas obras - Outros metais comuns; cermets; obras dessas matérias. - Molibdênio e suas obras, incluindo os desperdícios e resíduos, e sucata. - -- Molibdênio em formas brutas, incluindo as barras simplesmente obtidas por sinterização"
61143000,"Matérias têxteis e suas obras - Vestuário e seus acessórios, de malha. - Outro vestuário de malha. - - De fibras sintéticas ou artificiais"
28209020,"Produtos das indústrias químicas ou das indústrias conexas - Produtos químicos inorgânicos; compostos inorgânicos ou orgânicos de metais preciosos, de elementos radioativos, de metais das terras raras ou de isótopos. - Óxidos de manganês. - Trióxido de dimanganês (sesquióxido de manganês)"
29215932,"Produtos das indústrias químicas ou das indústrias conexas - Produtos químicos orgânicos. - Compostos de função amina. - Ácido 4,4'-diaminodifenilamino-2-sulfônico e seus sais"
62019300,"Matérias têxteis e suas obras - Vestuário e seus acessórios, exceto de malha. - Sobretudos, japonas, gabões, capas, anoraques, casacos (blusões*) e semelhantes, de uso masculino, exceto os artigos da posição 62.03. - -- De fibras sintéticas ou artificiais"
82083000,"Metais comuns e suas obras - Ferramentas, artigos de cutelaria e talheres, e suas partes, de metais comuns. - Facas e lâminas cortantes, para máquinas ou para aparelhos mecânicos. - - Para aparelhos de cozinha ou para máquinas das indústrias alimentares"
29053920,"Produtos das indústrias químicas ou das indústrias conexas - Produtos químicos orgânicos. - Álcoois acíclicos e seus derivados halogenados, sulfonados, nitrados ou nitrosados. - Trimetilenoglicol (1,3-propanodiol)"
03037933,"Animais vivos e produtos do reino animal - Peixes e crustáceos, moluscos e outros invertebrados aquáticos. - Peixes congelados, exceto os filés (filetes) de peixes e outra carne de peixes da posição 03.04. - Pargos (Lutjanus Purpureus) Cong."
29153955,"Produtos das indústrias químicas ou das indústrias conexas - Produtos químicos orgânicos. - Ácidos monocarboxílicos acíclicos saturados e seus anidridos, halogenetos, peróxidos e peroxiácidos; seus derivados halogenados, sulfonados, nitrados ou nitrosados. - De estilbestrol"
84522110,"Máquinas e aparelhos, material elétrico, e suas partes; aparelhos de gravação ou de reprodução de som, aparelhos de gravação ou de reprodução de imagens e de som em televisão, e suas partes e acessórios - Reatores nucleares, caldeiras, máquinas, aparelhos e instrumentos mecânicos, e suas partes. - Máquinas de costura, exceto as de costurar cadernos da posição 84.40; móveis, bases e tampas, próprios para máquinas de costura; agulhas para máquinas de costura. - Para costurar couros ou peles"
03024700,"Animais vivos e produtos do reino animal - Peixes e crustáceos, moluscos e outros invertebrados aquáticos. - Peixes frescos ou refrigerados, exceto os filés (filetes) de peixes e outra carne de peixes da posição 03.04. - -- Espadarte (Xiphias gladius)"
29314990,Produtos das indústrias químicas ou das indústrias conexas - Produtos químicos orgânicos. - Outros compostos organo-inorgânicos. - Outros
52041111,"Matérias têxteis e suas obras - Algodão. - Linhas para costurar, de algodão, mesmo acondicionadas para venda a retalho. - De dois cabos"
70159020,"Obras de pedra, gesso, cimento, amianto, mica ou de matérias semelhantes; produtos cerâmicos; vidro e suas obras - Vidro e suas obras. - Vidros de relojoaria e vidros semelhantes, vidros para lentes, mesmo corretivas, curvos ou arqueados, ocos ou semelhantes, não trabalhados opticamente; esferas ocas e segmentos de esferas, de vidro, para fabricação desses vidros. - Vidros para máscaras, óculos ou anteparos, protetores"
28047010,"Produtos das indústrias químicas ou das indústrias conexas - Produtos químicos inorgânicos; compostos inorgânicos ou orgânicos de metais preciosos, de elementos radioativos, de metais das terras raras ou de isótopos. - Hidrogênio, gases raros e outros elementos não metálicos. - Branco"
12040010,"Produtos do reino vegetal - Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens. - NÃO INFORMADO - Para semeadura (sementeira)"
84336010,"Máquinas e aparelhos, material elétrico, e suas partes; aparelhos de gravação ou de reprodução de som, aparelhos de gravação ou de reprodução de imagens e de som em televisão, e suas partes e acessórios - Reatores nucleares, caldeiras, máquinas, aparelhos e instrumentos mecânicos, e suas partes. - Máquinas e aparelhos para colheita ou debulha de produtos agrícolas, incluindo as enfardadeiras de palha ou forragem; cortadores de grama (relva) e ceifeiras; máquinas para limpar ou selecionar ovos, fruta ou outros produtos agrícolas, exceto as da posição 84.37. - Selecionadores de fruta"
39171021,"Plásticos e suas obras; borrachas e suas obras - Plástico e suas obras. - Tubos e seus acessórios (por exemplo, juntas, cotovelos, flanges, uniões), de plástico. - Fibrosas, de celulose regenerada, de diâmetro igual ou superior a 150 mm"
90303919,"Instrumentos e aparelhos de óptica, fotografia ou cinematografia, medida, controle ou de precisão; instrumentos e aparelhos medico-cirúrgicos; relogios e aparelhos semelhantes; instrumentos musicais; suas partes e acessórios - Instrumentos e aparelhos de óptica, de fotografia, de cinematografia, de medida, de controle ou de precisão; instrumentos e aparelhos médico-cirúrgicos; suas partes e acessórios. - Osciloscópios, analisadores de espectro e outros instrumentos e aparelhos para medida ou controle de grandezas elétricas; instrumentos e aparelhos para medida ou detecção de radiações alfa, beta, gama, X, cósmicas ou outras radiações ionizantes. - Qualquer Outro Voltimetro"
44091000,"Madeira, carvão vegetal e obras de madeira; cortiça e suas obras; obras de espartaria ou de cestaria - Madeira, carvão vegetal e obras de madeira. - Madeira (incluindo os tacos e frisos de parquê, não montados) perfilada (com espigas, ranhuras, filetes, entalhes, chanfrada, com juntas em V, com cercadura, boleada ou semelhantes) ao longo de uma ou mais bordas, faces ou extremidades, mesmo aplainada, lixada ou unida pelas extremidades. - - De coníferas"
29333351,Produtos das indústrias químicas ou das indústrias conexas - Produtos químicos orgânicos. - Compostos heterocíclicos exclusivamente de heteroátomo(s) de nitrogênio (azoto). - Difenoxina
84714967,"Máquinas e aparelhos, material elétrico, e suas partes; aparelhos de gravação ou de reprodução de som, aparelhos de gravação ou de reprodução de imagens e de som em televisão, e suas partes e acessórios - Reatores nucleares, caldeiras, máquinas, aparelhos e instrumentos mecânicos, e suas partes. - Máquinas automáticas para processamento de dados e suas unidades; leitores magnéticos ou ópticos, máquinas para registrar dados em suporte sob forma codificada, e máquinas para processamento desses dados, não especificadas nem compreendidas noutras posições. - Unid.D/Fitas Magneticas,P/Fitas Em Cass.Sist"
56031320,"Matérias têxteis e suas obras - Pastas (ouates), feltros e falsos tecidos (tecidos não tecidos); fios especiais; cordéis, cordas e cabos; artigos de cordoaria. - Falsos tecidos (tecidos não tecidos), mesmo impregnados, revestidos, recobertos ou estratificados. - De aramidas"
84714956,"Máquinas e aparelhos, material elétrico, e suas partes; aparelhos de gravação ou de reprodução de som, aparelhos de gravação ou de reprodução de imagens e de som em televisão, e suas partes e acessórios - Reatores nucleares, caldeiras, máquinas, aparelhos e instrumentos mecânicos, e suas partes. - Máquinas automáticas para processamento de dados e suas unidades; leitores magnéticos ou ópticos, máquinas para registrar dados em suporte sob forma codificada, e máquinas para processamento desses dados, não especificadas nem compreendidas noutras posições. - Outs.Unidades D/Saida P/Video,Polic.Sist."
85421420,"Máquinas e aparelhos, material elétrico, e suas partes; aparelhos de gravação ou de reprodução de som, aparelhos de gravação ou de reprodução de imagens e de som em televisão, e suas partes e acessórios - Máquinas, aparelhos e materiais elétricos, e suas partes; aparelhos de gravação ou de reprodução de som, aparelhos de gravação ou de reprodução de imagens e de som em televisão, e suas partes e acessórios. - Circuitos integrados eletrônicos. - Circ.Obt.P/Tecnologia Bipolar,P/Mont.Em Sup."
39206291,"Plásticos e suas obras; borrachas e suas obras - Plástico e suas obras. - Outras chapas, folhas, películas, tiras e lâminas, de plástico não alveolar, não reforçadas nem estratificadas, sem suporte, nem associadas de forma semelhante a outras matérias. - Com largura superior a 12 cm, sem qualquer trabalho à superfície"
03019910,"Animais vivos e produtos do reino animal - Peixes e crustáceos, moluscos e outros invertebrados aquáticos. - Peixes vivos. - Outros Peixes Para Reproducao"
35079039,Produtos das indústrias químicas ou das indústrias conexas - Matérias albuminoides; produtos à base de amidos ou de féculas modificados; colas; enzimas. - Enzimas; enzimas preparadas não especificadas nem compreendidas noutras posições. - Outros
54073000,"Matérias têxteis e suas obras - Filamentos sintéticos ou artificiais; lâminas e formas semelhantes de matérias têxteis sintéticas ou artificiais. - Tecidos de fios de filamentos sintéticos, incluindo os tecidos obtidos a partir dos produtos da posição 54.04. - - ""Tecidos"" mencionados na Nota 9 da Seção XI"
54079100,"Matérias têxteis e suas obras - Filamentos sintéticos ou artificiais; lâminas e formas semelhantes de matérias têxteis sintéticas ou artificiais. - Tecidos de fios de filamentos sintéticos, incluindo os tecidos obtidos a partir dos produtos da posição 54.04. - -- Crus ou branqueados"
29181800,"Produtos das indústrias químicas ou das indústrias conexas - Produtos químicos orgânicos. - Ácidos carboxílicos que contenham funções oxigenadas suplementares e seus anidridos, halogenetos, peróxidos e peroxiácidos; seus derivados halogenados, sulfonados, nitrados ou nitrosados. - -- Clorobenzilato (ISO)"
25087000,"Produtos minerais - Sal; enxofre; terras e pedras; gesso, cal e cimento. - Outras argilas (exceto argilas expandidas da posição 68.06), andaluzita, cianita, silimanita, mesmo calcinadas; mulita; barro cozido em pó (terra dechamotte) e terra de dinas. - - Barro cozido em pó (terra dechamotte) e terra de dinas"
84304990,"Máquinas e aparelhos, material elétrico, e suas partes; aparelhos de gravação ou de reprodução de som, aparelhos de gravação ou de reprodução de imagens e de som em televisão, e suas partes e acessórios - Reatores nucleares, caldeiras, máquinas, aparelhos e instrumentos mecânicos, e suas partes. - Outras máquinas e aparelhos de terraplenagem, nivelamento, raspagem, escavação, compactação, extração ou perfuração da terra, de minerais ou minérios; bate-estacas e arranca-estacas; limpa-neves. - Outras"
