ref,fundam_legal,beneficio,item,codigo_ncm,descricao_ncm,descr_produto,proporcao,ncm,tributos_nfe,valor_nfe
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01013000,"Animais vivos e produtos do reino animal - Animais vivos. - Cavalos, asininos e muares, vivos. - - Asininos",Animais vivos,1,01013000,80899.38999999998,3657931.17
Alíquota de Referência - Demais Produtos,GERAL,-,-,01019000,"Animais vivos e produtos do reino animal - Animais vivos. - Cavalos, asininos e muares, vivos. - - Outros",-,0,01019000,692699.57,0
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01019000,"Animais vivos e produtos do reino animal - Animais vivos. - Cavalos, asininos e muares, vivos. - - Outros",Animais vivos,1,01019000,692699.57,22951502.67
Alíquota de Referência - Demais Produtos,GERAL,-,-,01019010,"Animais vivos e produtos do reino animal - Animais vivos. - Cavalos, asininos e muares, vivos. - Outros Cavalos Exceto D/Raga Pura",-,0,01019010,0,0
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01019010,"Animais vivos e produtos do reino animal - Animais vivos. - Cavalos, asininos e muares, vivos. - Outros Cavalos Exceto D/Raga Pura",Animais vivos,1,01019010,0,60
Alíquota de Referência - Demais Produtos,GERAL,-,-,01019090,"Animais vivos e produtos do reino animal - Animais vivos. - Cavalos, asininos e muares, vivos. - Outs.Animais Especie Cavalar Asinina Muar",-,0,01019090,36.25,0
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01019090,"Animais vivos e produtos do reino animal - Animais vivos. - Cavalos, asininos e muares, vivos. - Outs.Animais Especie Cavalar Asinina Muar",Animais vivos,1,01019090,36.25,64478.25
Alíquota de Referência - Demais Produtos,GERAL,-,-,01021010,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie bovina. - Bovinos De Raca Pura Prenhe Ou C/Cria Ao Pe,-,0,01021010,0,0
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01021010,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie bovina. - Bovinos De Raca Pura Prenhe Ou C/Cria Ao Pe,Animais vivos,0.5,01021010,0,152134.595
Alíquota reduzida 60%  -Insumos agropecuários - Anexo IX - art 138,GERAL,Redução de 60%,15,01021010,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie bovina. - Bovinos De Raca Pura Prenhe Ou C/Cria Ao Pe,"Reprodutores de raça pura, inclusive matrizes de animais puros de origem com registro genealógico; em conformidade com as definições e demais requisitos da legislação específica",0.5,01021010,0,152134.595
Alíquota de Referência - Demais Produtos,GERAL,-,-,01021090,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie bovina. - Outros Bovinos Reprodutores De Raca Pura,-,0,01021090,0,0
Alíquota reduzida 60%  -Insumos agropecuários - Anexo IX - art 138,GERAL,Redução de 60%,15,01021090,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie bovina. - Outros Bovinos Reprodutores De Raca Pura,"Reprodutores de raça pura, inclusive matrizes de animais puros de origem com registro genealógico; em conformidade com as definições e demais requisitos da legislação específica",0.5,01021090,0,160.245
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01021090,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie bovina. - Outros Bovinos Reprodutores De Raca Pura,Animais vivos,0.5,01021090,0,160.245
Alíquota de Referência - Demais Produtos,GERAL,-,-,01022110,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie bovina. - Prenhes ou com cria ao pé,-,0,01022110,554355.06,0
Alíquota reduzida 60%  -Insumos agropecuários - Anexo IX - art 138,GERAL,Redução de 60%,15,01022110,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie bovina. - Prenhes ou com cria ao pé,"Reprodutores de raça pura, inclusive matrizes de animais puros de origem com registro genealógico; em conformidade com as definições e demais requisitos da legislação específica",0.5,01022110,554355.06,171355207.745
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01022110,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie bovina. - Prenhes ou com cria ao pé,Animais vivos,0.5,01022110,554355.06,171355207.745
Alíquota de Referência - Demais Produtos,GERAL,-,-,01022190,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie bovina. - Outros,-,0,01022190,17539630.6358,0
Alíquota reduzida 60%  -Insumos agropecuários - Anexo IX - art 138,GERAL,Redução de 60%,15,01022190,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie bovina. - Outros,"Reprodutores de raça pura, inclusive matrizes de animais puros de origem com registro genealógico; em conformidade com as definições e demais requisitos da legislação específica",0.5,01022190,17539630.6358,3405842992.055
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01022190,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie bovina. - Outros,Animais vivos,0.5,01022190,17539630.6358,3405842992.055
Alíquota de Referência - Demais Produtos,GERAL,-,-,01022911,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie bovina. - Prenhes ou com cria ao pé,-,0,01022911,2923067.05,0
Alíquota reduzida 60%  -Insumos agropecuários - Anexo IX - art 138,GERAL,Redução de 60%,15,01022911,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie bovina. - Prenhes ou com cria ao pé,"Reprodutores de raça pura, inclusive matrizes de animais puros de origem com registro genealógico; em conformidade com as definições e demais requisitos da legislação específica",0.5,01022911,2923067.05,663415797.9200001
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01022911,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie bovina. - Prenhes ou com cria ao pé,Animais vivos,0.5,01022911,2923067.05,663415797.9200001
Alíquota de Referência - Demais Produtos,GERAL,-,-,01022919,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie bovina. - Outros,-,0,01022919,9755418.450000003,0
Alíquota reduzida 60%  -Insumos agropecuários - Anexo IX - art 138,GERAL,Redução de 60%,15,01022919,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie bovina. - Outros,"Reprodutores de raça pura, inclusive matrizes de animais puros de origem com registro genealógico; em conformidade com as definições e demais requisitos da legislação específica",0.5,01022919,9755418.450000003,2324308208.100001
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01022919,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie bovina. - Outros,Animais vivos,0.5,01022919,9755418.450000003,2324308208.100001
Alíquota de Referência - Demais Produtos,GERAL,-,-,01022990,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie bovina. - Outros,-,0,01022990,31642691.43600001,0
Alíquota reduzida 60%  -Insumos agropecuários - Anexo IX - art 138,GERAL,Redução de 60%,15,01022990,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie bovina. - Outros,"Reprodutores de raça pura, inclusive matrizes de animais puros de origem com registro genealógico; em conformidade com as definições e demais requisitos da legislação específica",0.5,01022990,31642691.43600001,9936988086.709995
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01022990,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie bovina. - Outros,Animais vivos,0.5,01022990,31642691.43600001,9936988086.709995
Alíquota de Referência - Demais Produtos,GERAL,-,-,01023110,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie bovina. - Prenhes ou com cria ao pé,-,0,01023110,5462.949999999999,0
Alíquota reduzida 60%  -Insumos agropecuários - Anexo IX - art 138,GERAL,Redução de 60%,15,01023110,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie bovina. - Prenhes ou com cria ao pé,"Reprodutores de raça pura, inclusive matrizes de animais puros de origem com registro genealógico; em conformidade com as definições e demais requisitos da legislação específica",0.5,01023110,5462.949999999999,975181.61
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01023110,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie bovina. - Prenhes ou com cria ao pé,Animais vivos,0.5,01023110,5462.949999999999,975181.61
Alíquota de Referência - Demais Produtos,GERAL,-,-,01023190,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie bovina. - Outros,-,0,01023190,54668.8,0
Alíquota reduzida 60%  -Insumos agropecuários - Anexo IX - art 138,GERAL,Redução de 60%,15,01023190,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie bovina. - Outros,"Reprodutores de raça pura, inclusive matrizes de animais puros de origem com registro genealógico; em conformidade com as definições e demais requisitos da legislação específica",0.5,01023190,54668.8,24866524.71
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01023190,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie bovina. - Outros,Animais vivos,0.5,01023190,54668.8,24866524.71
Alíquota de Referência - Demais Produtos,GERAL,-,-,01023911,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie bovina. - Prenhes ou com cria ao pé,-,0,01023911,98.94,0
Alíquota reduzida 60%  -Insumos agropecuários - Anexo IX - art 138,GERAL,Redução de 60%,15,01023911,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie bovina. - Prenhes ou com cria ao pé,"Reprodutores de raça pura, inclusive matrizes de animais puros de origem com registro genealógico; em conformidade com as definições e demais requisitos da legislação específica",0.5,01023911,98.94,1227804.715
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01023911,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie bovina. - Prenhes ou com cria ao pé,Animais vivos,0.5,01023911,98.94,1227804.715
Alíquota de Referência - Demais Produtos,GERAL,-,-,01023919,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie bovina. - Outros,-,0,01023919,21397.71,0
Alíquota reduzida 60%  -Insumos agropecuários - Anexo IX - art 138,GERAL,Redução de 60%,15,01023919,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie bovina. - Outros,"Reprodutores de raça pura, inclusive matrizes de animais puros de origem com registro genealógico; em conformidade com as definições e demais requisitos da legislação específica",0.5,01023919,21397.71,9356722.495
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01023919,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie bovina. - Outros,Animais vivos,0.5,01023919,21397.71,9356722.495
Alíquota de Referência - Demais Produtos,GERAL,-,-,01023990,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie bovina. - Outros,-,0,01023990,41907.24,0
Alíquota reduzida 60%  -Insumos agropecuários - Anexo IX - art 138,GERAL,Redução de 60%,15,01023990,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie bovina. - Outros,"Reprodutores de raça pura, inclusive matrizes de animais puros de origem com registro genealógico; em conformidade com as definições e demais requisitos da legislação específica",0.5,01023990,41907.24,16963355.525
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01023990,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie bovina. - Outros,Animais vivos,0.5,01023990,41907.24,16963355.525
Alíquota de Referência - Demais Produtos,GERAL,-,-,01029000,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie bovina. - - Outros,-,0,01029000,20044038.454,0
Alíquota reduzida 60%  -Insumos agropecuários - Anexo IX - art 138,GERAL,Redução de 60%,15,01029000,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie bovina. - - Outros,"Reprodutores de raça pura, inclusive matrizes de animais puros de origem com registro genealógico; em conformidade com as definições e demais requisitos da legislação específica",0.5,01029000,20044038.454,9779840786.759996
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01029000,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie bovina. - - Outros,Animais vivos,0.5,01029000,20044038.454,9779840786.759996
Alíquota de Referência - Demais Produtos,GERAL,-,-,01029011,"Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie bovina. - Outs.Bovinos,P/Reprod.,Prenhe, C/Cria Ao Pe",-,0,-,-,-
Alíquota reduzida 60%  -Insumos agropecuários - Anexo IX - art 138,GERAL,Redução de 60%,15,01029011,"Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie bovina. - Outs.Bovinos,P/Reprod.,Prenhe, C/Cria Ao Pe","Reprodutores de raça pura, inclusive matrizes de animais puros de origem com registro genealógico; em conformidade com as definições e demais requisitos da legislação específica",0.5,-,-,-
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01029011,"Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie bovina. - Outs.Bovinos,P/Reprod.,Prenhe, C/Cria Ao Pe",Animais vivos,0.5,-,-,-
Alíquota de Referência - Demais Produtos,GERAL,-,-,01029019,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie bovina. - Outros Bovinos Para Reproducao,-,0,01029019,0,0
Alíquota reduzida 60%  -Insumos agropecuários - Anexo IX - art 138,GERAL,Redução de 60%,15,01029019,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie bovina. - Outros Bovinos Para Reproducao,"Reprodutores de raça pura, inclusive matrizes de animais puros de origem com registro genealógico; em conformidade com as definições e demais requisitos da legislação específica",0.5,01029019,0,12235.58
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01029019,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie bovina. - Outros Bovinos Para Reproducao,Animais vivos,0.5,01029019,0,12235.58
Alíquota de Referência - Demais Produtos,GERAL,-,-,01029090,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie bovina. - Outros Animais Da Especie Bovina,-,0,01029090,1168636.42,0
Alíquota reduzida 60%  -Insumos agropecuários - Anexo IX - art 138,GERAL,Redução de 60%,15,01029090,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie bovina. - Outros Animais Da Especie Bovina,"Reprodutores de raça pura, inclusive matrizes de animais puros de origem com registro genealógico; em conformidade com as definições e demais requisitos da legislação específica",0.5,01029090,1168636.42,61629774.35
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01029090,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie bovina. - Outros Animais Da Especie Bovina,Animais vivos,0.5,01029090,1168636.42,61629774.35
Alíquota de Referência - Demais Produtos,GERAL,-,-,01031000,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie suína. - - Reprodutores de raça pura,-,0,01031000,5556251.670000001,0
Alíquota reduzida 60%  -Insumos agropecuários - Anexo IX - art 138,GERAL,Redução de 60%,15,01031000,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie suína. - - Reprodutores de raça pura,"Reprodutores de raça pura, inclusive matrizes de animais puros de origem com registro genealógico; em conformidade com as definições e demais requisitos da legislação específica",0.5,01031000,5556251.670000001,45880148.825
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01031000,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie suína. - - Reprodutores de raça pura,Animais vivos,0.5,01031000,5556251.670000001,45880148.825
Alíquota de Referência - Demais Produtos,GERAL,-,-,01039100,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie suína. - -- De peso inferior a 50 kg,-,0,01039100,1625974.28,0
Alíquota reduzida 60%  -Insumos agropecuários - Anexo IX - art 138,GERAL,Redução de 60%,15,01039100,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie suína. - -- De peso inferior a 50 kg,"Reprodutores de raça pura, inclusive matrizes de animais puros de origem com registro genealógico; em conformidade com as definições e demais requisitos da legislação específica",0.5,01039100,1625974.28,62571236.05000002
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01039100,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie suína. - -- De peso inferior a 50 kg,Animais vivos,0.5,01039100,1625974.28,62571236.05000002
Alíquota de Referência - Demais Produtos,GERAL,-,-,01039200,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie suína. - -- De peso igual ou superior a 50 kg,-,0,01039200,2135691.74,0
Alíquota reduzida 60%  -Insumos agropecuários - Anexo IX - art 138,GERAL,Redução de 60%,15,01039200,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie suína. - -- De peso igual ou superior a 50 kg,"Reprodutores de raça pura, inclusive matrizes de animais puros de origem com registro genealógico; em conformidade com as definições e demais requisitos da legislação específica",0.5,01039200,2135691.74,75756986.72
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01039200,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie suína. - -- De peso igual ou superior a 50 kg,Animais vivos,0.5,01039200,2135691.74,75756986.72
Alíquota de Referência - Demais Produtos,GERAL,-,-,01041011,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos das espécies ovina e caprina. - Prenhes ou com cria ao pé,-,0,01041011,2772.32,0
Alíquota reduzida 60%  -Insumos agropecuários - Anexo IX - art 138,GERAL,Redução de 60%,15,01041011,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos das espécies ovina e caprina. - Prenhes ou com cria ao pé,"Reprodutores de raça pura, inclusive matrizes de animais puros de origem com registro genealógico; em conformidade com as definições e demais requisitos da legislação específica",0.5,01041011,2772.32,1105509.935
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01041011,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos das espécies ovina e caprina. - Prenhes ou com cria ao pé,Animais vivos,0.5,01041011,2772.32,1105509.935
Alíquota de Referência - Demais Produtos,GERAL,-,-,01041019,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos das espécies ovina e caprina. - Outros,-,0,01041019,3130.21,0
Alíquota reduzida 60%  -Insumos agropecuários - Anexo IX - art 138,GERAL,Redução de 60%,15,01041019,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos das espécies ovina e caprina. - Outros,"Reprodutores de raça pura, inclusive matrizes de animais puros de origem com registro genealógico; em conformidade com as definições e demais requisitos da legislação específica",0.5,01041019,3130.21,4060461.785000001
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01041019,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos das espécies ovina e caprina. - Outros,Animais vivos,0.5,01041019,3130.21,4060461.785000001
Alíquota de Referência - Demais Produtos,GERAL,-,-,01041090,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos das espécies ovina e caprina. - Outros,-,0,01041090,19399.43,0
Alíquota reduzida 60%  -Insumos agropecuários - Anexo IX - art 138,GERAL,Redução de 60%,15,01041090,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos das espécies ovina e caprina. - Outros,"Reprodutores de raça pura, inclusive matrizes de animais puros de origem com registro genealógico; em conformidade com as definições e demais requisitos da legislação específica",0.5,01041090,19399.43,4758324.575
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01041090,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos das espécies ovina e caprina. - Outros,Animais vivos,0.5,01041090,19399.43,4758324.575
Alíquota de Referência - Demais Produtos,GERAL,-,-,01042010,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos das espécies ovina e caprina. - Reprodutores de raça pura,-,0,01042010,138592.63,0
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01042010,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos das espécies ovina e caprina. - Reprodutores de raça pura,Animais vivos,0.5,01042010,138592.63,3899285.845
Alíquota reduzida 60%  -Insumos agropecuários - Anexo IX - art 138,GERAL,Redução de 60%,15,01042010,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos das espécies ovina e caprina. - Reprodutores de raça pura,"Reprodutores de raça pura, inclusive matrizes de animais puros de origem com registro genealógico; em conformidade com as definições e demais requisitos da legislação específica",0.5,01042010,138592.63,3899285.845
Alíquota de Referência - Demais Produtos,GERAL,-,-,01042090,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos das espécies ovina e caprina. - Outros,-,0,01042090,7728.09,0
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01042090,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos das espécies ovina e caprina. - Outros,Animais vivos,0.5,01042090,7728.09,1683827.405
Alíquota reduzida 60%  -Insumos agropecuários - Anexo IX - art 138,GERAL,Redução de 60%,15,01042090,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos das espécies ovina e caprina. - Outros,"Reprodutores de raça pura, inclusive matrizes de animais puros de origem com registro genealógico; em conformidade com as definições e demais requisitos da legislação específica",0.5,01042090,7728.09,1683827.405
Alíquota de Referência - Demais Produtos,GERAL,-,-,01051110,"Animais vivos e produtos do reino animal - Animais vivos. - Aves da espécieGallus domesticus, patos, gansos, perus, peruas e galinhas-d'angola (pintadas), das espécies domésticas, vivos. - De linhas puras ou híbridas, para reprodução",-,0,01051110,12813879.76,0
Alíquota reduzida 60%  -Insumos agropecuários - Anexo IX - art 138,GERAL,Redução de 60%,13,01051110,"Animais vivos e produtos do reino animal - Animais vivos. - Aves da espécieGallus domesticus, patos, gansos, perus, peruas e galinhas-d'angola (pintadas), das espécies domésticas, vivos. - De linhas puras ou híbridas, para reprodução","Aves de um dia, exceto as ornamentais",0.5,01051110,12813879.76,216681247.525
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01051110,"Animais vivos e produtos do reino animal - Animais vivos. - Aves da espécieGallus domesticus, patos, gansos, perus, peruas e galinhas-d'angola (pintadas), das espécies domésticas, vivos. - De linhas puras ou híbridas, para reprodução",Animais vivos,0.5,01051110,12813879.76,216681247.525
Alíquota de Referência - Demais Produtos,GERAL,-,-,01051190,"Animais vivos e produtos do reino animal - Animais vivos. - Aves da espécieGallus domesticus, patos, gansos, perus, peruas e galinhas-d'angola (pintadas), das espécies domésticas, vivos. - Outros",-,0,01051190,4326093.771000001,0
Alíquota reduzida 60%  -Insumos agropecuários - Anexo IX - art 138,GERAL,Redução de 60%,13,01051190,"Animais vivos e produtos do reino animal - Animais vivos. - Aves da espécieGallus domesticus, patos, gansos, perus, peruas e galinhas-d'angola (pintadas), das espécies domésticas, vivos. - Outros","Aves de um dia, exceto as ornamentais",0.5,01051190,4326093.771000001,217872800.325
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01051190,"Animais vivos e produtos do reino animal - Animais vivos. - Aves da espécieGallus domesticus, patos, gansos, perus, peruas e galinhas-d'angola (pintadas), das espécies domésticas, vivos. - Outros",Animais vivos,0.5,01051190,4326093.771000001,217872800.325
Alíquota de Referência - Demais Produtos,GERAL,-,-,01051200,"Animais vivos e produtos do reino animal - Animais vivos. - Aves da espécieGallus domesticus, patos, gansos, perus, peruas e galinhas-d'angola (pintadas), das espécies domésticas, vivos. - -- Peruas e perus",-,0,01051200,1493.7,0
Alíquota reduzida 60%  -Insumos agropecuários - Anexo IX - art 138,GERAL,Redução de 60%,13,01051200,"Animais vivos e produtos do reino animal - Animais vivos. - Aves da espécieGallus domesticus, patos, gansos, perus, peruas e galinhas-d'angola (pintadas), das espécies domésticas, vivos. - -- Peruas e perus","Aves de um dia, exceto as ornamentais",0.5,01051200,1493.7,32228.17
